epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.5312,0.95739,0.81739,1,0.46128,0.000411184,0.000411184,0.000411184
2,63.2842,0.54491,0.94783,1,0.1941,0.000811459,0.000811459,0.000811459
3,93.5949,0.53967,0.98261,1,0.09587,0.00119523,0.00119523,0.00119523
4,122.535,0.4337,0.90435,1,0.17518,0.00117575,0.00117575,0.00117575
5,150.861,0.33485,0.93043,1,0.21808,0.001151,0.001151,0.001151
6,179.376,0.35455,0.95652,1,0.14039,0.00112625,0.00112625,0.00112625
7,207.824,0.27822,0.95652,1,0.16266,0.0011015,0.0011015,0.0011015
8,235.894,0.35019,0.93043,1,0.15004,0.00107675,0.00107675,0.00107675
9,264.768,0.26512,0.95652,1,0.14667,0.001052,0.001052,0.001052
10,359.138,0.25597,0.98261,1,0.03835,0.00102725,0.00102725,0.00102725
11,387.673,0.24127,0.98261,1,0.03662,0.0010025,0.0010025,0.0010025
12,416.146,0.18786,0.97391,1,0.04716,0.00097775,0.00097775,0.00097775
13,444.355,0.17103,0.98261,1,0.04464,0.000953,0.000953,0.000953
14,473.171,0.15855,1,1,0.00579,0.00092825,0.00092825,0.00092825
15,501.956,0.16846,1,1,0.02339,0.0009035,0.0009035,0.0009035
16,531.244,0.14699,0.9913,1,0.03007,0.00087875,0.00087875,0.00087875
17,560.264,0.14249,0.9913,1,0.0512,0.000854,0.000854,0.000854
18,588.759,0.18091,1,1,0.01198,0.00082925,0.00082925,0.00082925
19,617.632,0.11633,1,1,0.00643,0.0008045,0.0008045,0.0008045
20,646.265,0.13391,0.9913,1,0.01081,0.00077975,0.00077975,0.00077975
21,675.64,0.11877,0.9913,1,0.01696,0.000755,0.000755,0.000755
22,704.51,0.12704,0.9913,1,0.01657,0.00073025,0.00073025,0.00073025
23,734.872,0.10026,0.9913,1,0.054,0.0007055,0.0007055,0.0007055
24,763.324,0.099,0.9913,1,0.01406,0.00068075,0.00068075,0.00068075
25,791.733,0.07127,0.9913,1,0.04583,0.000656,0.000656,0.000656
26,820.126,0.09833,0.9913,1,0.02504,0.00063125,0.00063125,0.00063125
27,848.513,0.07593,0.9913,1,0.0075,0.0006065,0.0006065,0.0006065
28,876.829,0.06427,0.9913,1,0.01096,0.00058175,0.00058175,0.00058175
29,905.42,0.07656,1,1,0.00179,0.000557,0.000557,0.000557
30,935.652,0.06871,1,1,0.00237,0.00053225,0.00053225,0.00053225
31,964.925,0.07423,0.9913,1,0.01155,0.0005075,0.0005075,0.0005075
32,994.233,0.0843,0.9913,1,0.012,0.00048275,0.00048275,0.00048275
33,1023.34,0.07059,0.9913,1,0.02271,0.000458,0.000458,0.000458
34,1053.14,0.06198,1,1,0.00257,0.00043325,0.00043325,0.00043325
35,1082.86,0.04976,1,1,0.00241,0.0004085,0.0004085,0.0004085
36,1112.42,0.04113,0.9913,1,0.01551,0.00038375,0.00038375,0.00038375
37,1141.49,0.05259,1,1,0.00292,0.000359,0.000359,0.000359
38,1170.61,0.04296,1,1,0.00165,0.00033425,0.00033425,0.00033425
39,1199.84,0.05225,1,1,0.0013,0.0003095,0.0003095,0.0003095
40,1229.1,0.03634,0.9913,1,0.00958,0.00028475,0.00028475,0.00028475
41,1259.19,0.05894,0.9913,1,0.00949,0.00026,0.00026,0.00026
42,1288.4,0.0417,0.9913,1,0.01197,0.00023525,0.00023525,0.00023525
43,1318.18,0.04548,1,1,0.00173,0.0002105,0.0002105,0.0002105
44,1347.57,0.04044,1,1,0.00132,0.00018575,0.00018575,0.00018575
45,1376.88,0.03953,1,1,0.0042,0.000161,0.000161,0.000161
46,1406.8,0.02381,0.9913,1,0.01165,0.00013625,0.00013625,0.00013625
47,1437.77,0.03379,0.9913,1,0.02612,0.0001115,0.0001115,0.0001115
48,1467,0.02843,0.9913,1,0.0238,8.675e-05,8.675e-05,8.675e-05
49,1496.01,0.02855,0.9913,1,0.02387,6.2e-05,6.2e-05,6.2e-05
50,1525.42,0.02455,0.9913,1,0.02234,3.725e-05,3.725e-05,3.725e-05
